"key","plural1","plural2","plural3","plural4","plural5","plural6","value"
"do not remove or edit row above, even though it looks wrong"

"Global.score","Wertung"
"Global.loading-data","Lade daten..."
"Global.add","Hinzufügen"
"Global.edit","Editieren"
"Global.display-name","Namen anzeigen"
"Global.delete","Löschen"
"Global.click-to-expand","Zum Ausklappen klicken"
"Global.region","Region"
"Global.country","Land"
"Global.countries","Länder"
"Global.group","SBU"
"Global.groups","SBUs"
"Global.presence","Auftritt"
"Global.presences","Auftritte"
"Global.select","Auswahl"
"Global.select-placeholder","-- Auswahl --"
"Global.save","Speichern"
"Global.no","Nein"
"Global.yes","Ja"
"Global.password","Passwort"
"Global.send","Senden"
"Global.name","Name"
"Global.user","Benutzername"
"Global.email","Email"
"Global.password-confirm","Passwort (nochmal)"
"Global.available-countries","Verfügbare Länder"
"Global.rank","Rang"

"navigation-menu.users","Benutzer"
"navigation-menu.account","Account"
"navigation-menu.edit-users","Benutzer bearbeiten"
"navigation-menu.sign-out","Ausloggen"
"navigation-menu.settings","Einstellungen"
"navigation-menu.user","Benutzer"
"navigation-menu.home","Startseite"
"navigation-menu.regions","Regionen"
"navigation-menu.countries","Länder"
"navigation-menu.sbus","SBUs"
"navigation-menu.presences","Auftritte"
"navigation-menu.domains","Domains"
"navigation-menu.statuses","Status"
"navigation-menu.login","Einloggen"
"navigation-menu.register","Registrieren"




"Base.layout.feedback-button","Feedback"
"Base.layout.feedback-modal.title","Feedback Formular"
"Base.layout.feedback-modal.subtitle","Ihr Feedback ist uns wichtig. Bitte teilen Sie uns ihre Wünsche und Vorschläge mit."
"Base.layout.feedback-modal.name-label","Ihr Name"
"Base.layout.feedback-modal.name-placeholder","Geben Sie ihren Vor- und Nachnamen ein"
"Base.layout.feedback-modal.email-label","Ihre Email"
"Base.layout.feedback-modal.email-placeholder","Bitte geben Sie ihre Email ein"
"Base.layout.feedback-modal.message-label","Ihre Nachricht"
"Base.layout.feedback-modal.message-placeholder","Bitte geben Sie ihre Nachricht ein (max. 1000 Buchstaben)"
"Base.layout.feedback-modal.submit","Absenden"
"Base.layout.feedback-modal.close","Abbrechen"




"route.index.index.page-title","Social Media Monitor"
"route.index.index.find-country","Suchen"
"route.index.index.pdf-download-description","Diese Statistiken sind von den Social Media Metriken des Unternehmens bezogen.<br />Sie könnnen eine PDF zur Erklärung hier herunterladen:"
"route.index.index.pdf-download-link","Erklärung zu den Metriken herunterladen"
"route.index.index.pdf-download-link-title","PDF mit Metriken herunterladen"
"route.index.index.contextual-help.page-title","Wählen sie aus Reichweite, Engagement, Qualität oder Gesamt um zu sehen wie verschiedene Länder abschneiden."
"route.index.index.contextual-help.map","Click on the map to select a country and preview the individual social media presences."
"route.index.index.contextual-help.map","Wählen Sie ein Land auf der Karte aus um die unterschiedlichen Social Media Auftritte anzuzeigen"
"route.index.index.search-result-label","Suchergebnisse:"




"buttons.common.cancel","Abbrechen"

"buttons.region.edit","Region bearbeiten"
"buttons.region.delete","Region löschen"
"buttons.region.manage","Länder verwalten"
"buttons.region.view","Region anzeigen"

"buttons.country.edit","Land bearbeiten"
"buttons.country.delete","Land löschen"
"buttons.country.manage","Auftritte verwalten"
"buttons.country.view","Land anzeigen"

"buttons.group.edit","SBU bearbeiten"
"buttons.group.delete","SBU löschen"
"buttons.group.manage","SBU verwalten"
"buttons.group.view","SBU anzeigen"

"buttons.presence.edit","Auftritt editieren"
"buttons.presence.delete","Auftritt löschen"
"buttons.presence.view","Präsenz anzeigen"



